"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_cli_pull_writes_spec_and_masks_key","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_client","",""
"","0","test_nested_dicts_merge_recursively","tests.internal_tests","2026-06-29","passed","2026-06-29","TestMergeConfigs","test_config_loader","",""
"","0","test_token_sets_bearer_authorization","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_api_client","",""
"","0","test_schema_allows_extra_keys","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_config_schema","",""
"","0","test_create_driver_unknown_raises","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_drivers","",""
"","0","test_missing_app_without_default_raises","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_full_case_body_sections","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_non_dict_override_wins","tests.internal_tests","2026-06-29","passed","2026-06-29","TestMergeConfigs","test_config_loader","",""
"","0","test_find_paginates","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_client","",""
"","0","test_non_text_template_raises","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_missing_file_raises_config_error","tests.internal_tests","2026-06-29","passed","2026-06-29","TestLoadConfig","test_config_loader","",""
"","1","test_env_interpolation_falls_back_to_default","tests.internal_tests","2026-06-29","passed","2026-06-29","TestLoadConfig","test_config_loader","",""
"","0","test_get_config_path_override","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_helpers","",""
"","0","test_create_driver_selenium","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_drivers","",""
"","0","test_requires_base_url","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_api_client","",""
"","0","test_priority_to_severity[low-minor]","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_priority_to_severity[high-critical]","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","353","test_list_brands","tests.api_tests","2026-06-29","passed","2026-06-29","TestCatalogApi","test_categories","",""
"","310","test_list_products_returns_a_page","tests.api_tests","2026-06-29","passed","2026-06-29","TestProductsApi","test_products","",""
"","0","test_spec_filename_caps_length","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_schema_accepts_valid_config","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_config_schema","",""
"","0","test_priority_to_severity[lowest-trivial]","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_env_interpolation_uses_environment","tests.internal_tests","2026-06-29","passed","2026-06-29","TestLoadConfig","test_config_loader","",""
